Start Count: 0
Watching for changes in count...  Use Ctrl-C to Exit.

|Query Number|Sample Number|Epoch (ms)    |Time (s) |Count             |Linear Reg. Rate  |Rate From Previous|Rate From First   |
|        117 |          51 |1558698482449 |    1160 |      118,787,920 |           98,974 |          389,750 |          100,251 |
|        118 |       ***** |1558698492446 |    1170 |      118,787,920 |           98,974 |                0 |           99,395 |
|        119 |       ***** |1558698502446 |    1180 |      118,787,920 |           98,974 |                0 |           98,552 |
|        120 |       ***** |1558698512445 |    1190 |      118,787,920 |           98,974 |                0 |           97,724 |
|        121 |       ***** |1558698522447 |    1200 |      118,787,920 |           98,974 |                0 |           96,910 |
|        122 |          52 |1558698532485 |    1210 |      120,399,872 |           98,830 |           32,216 |           97,438 |
|        123 |          53 |1558698542445 |    1220 |      123,503,457 |           98,910 |          311,605 |           99,186 |
|        124 |          54 |1558698552483 |    1230 |      125,700,860 |           99,089 |          218,908 |          100,163 |
|        125 |       ***** |1558698562448 |    1240 |      125,700,860 |           99,089 |                0 |           99,358 |
|        126 |       ***** |1558698572500 |    1250 |      125,700,860 |           99,089 |                0 |           98,559 |
|        127 |       ***** |1558698582446 |    1260 |      125,700,860 |           99,089 |                0 |           97,781 |
|        128 |       ***** |1558698592446 |    1270 |      125,700,860 |           99,089 |                0 |           97,012 |
|        129 |          55 |1558698602448 |    1280 |      128,016,600 |           99,015 |           46,347 |           98,063 |
|        130 |          56 |1558698612458 |    1290 |      130,250,663 |           99,058 |          223,183 |           99,033 |
|        131 |          57 |1558698622446 |    1300 |      132,537,042 |           99,201 |          228,913 |          100,031 |
|        132 |       ***** |1558698632447 |    1310 |      132,537,042 |           99,201 |                0 |           99,268 |
|        133 |       ***** |1558698642449 |    1320 |      132,537,042 |           99,201 |                0 |           98,516 |
|        134 |       ***** |1558698652449 |    1330 |      132,537,042 |           99,201 |                0 |           97,775 |
|        135 |          58 |1558698662451 |    1340 |      134,674,434 |           99,185 |           53,428 |           98,640 |
|        136 |       ***** |1558698672448 |    1350 |      134,674,434 |           99,185 |                0 |           97,910 |
|        137 |          59 |1558698682450 |    1360 |      139,135,711 |           99,362 |          223,075 |          100,470 |
|        138 |       ***** |1558698692449 |    1370 |      139,135,711 |           99,362 |                0 |           99,737 |
|        139 |       ***** |1558698702447 |    1380 |      139,135,711 |           99,362 |                0 |           99,014 |
|        140 |       ***** |1558698712449 |    1390 |      139,135,711 |           99,362 |                0 |           98,302 |
|        141 |       ***** |1558698722484 |    1400 |      139,135,711 |           99,362 |                0 |           97,597 |
|        142 |          60 |1558698732447 |    1410 |      141,278,647 |           99,309 |           42,861 |           98,427 |
|        143 |          61 |1558698742448 |    1420 |      142,015,491 |           99,244 |           73,677 |           98,253 |
|        144 |          62 |1558698752448 |    1430 |      145,659,122 |           99,370 |          364,363 |          100,114 |
|        145 |       ***** |1558698762450 |    1440 |      145,659,122 |           99,370 |                0 |           99,418 |
|        146 |       ***** |1558698772450 |    1450 |      145,659,122 |           99,370 |                0 |           98,733 |
|        147 |       ***** |1558698782449 |    1460 |      145,659,122 |           99,370 |                0 |           98,057 |
|        148 |          63 |1558698792450 |    1470 |      147,119,816 |           99,314 |           36,516 |           98,383 |
|        149 |          64 |1558698802461 |    1480 |      147,844,474 |           99,248 |           72,386 |           98,207 |
|        150 |          65 |1558698812455 |    1490 |      149,990,487 |           99,259 |          214,730 |           98,989 |
|        151 |          66 |1558698822452 |    1500 |      152,257,597 |           99,345 |          226,779 |           99,840 |
|        152 |       ***** |1558698832450 |    1510 |      152,257,597 |           99,345 |                0 |           99,179 |
|        153 |       ***** |1558698842458 |    1520 |      152,257,597 |           99,345 |                0 |           98,526 |
|        154 |       ***** |1558698852450 |    1530 |      152,257,597 |           99,345 |                0 |           97,883 |
|        155 |          67 |1558698862450 |    1540 |      154,451,900 |           99,321 |           54,860 |           98,672 |
|        156 |       ***** |1558698872450 |    1550 |      154,451,900 |           99,321 |                0 |           98,036 |
|        157 |          68 |1558698882454 |    1560 |      157,531,713 |           99,361 |          153,960 |           99,381 |
|        158 |          69 |1558698892449 |    1570 |      159,137,422 |           99,430 |          160,651 |           99,771 |
|        159 |       ***** |1558698902455 |    1580 |      159,137,422 |           99,430 |                0 |           99,139 |
|        160 |       ***** |1558698912450 |    1590 |      159,137,422 |           99,430 |                0 |           98,516 |
|        161 |       ***** |1558698922451 |    1600 |      159,137,422 |           99,430 |                0 |           97,900 |
|        162 |          70 |1558698932449 |    1610 |      161,395,450 |           99,403 |           56,451 |           98,695 |
|        163 |       ***** |1558698942449 |    1620 |      161,395,450 |           99,403 |                0 |           98,086 |
|        164 |          71 |1558698952456 |    1630 |      163,722,351 |           99,395 |          116,304 |           98,911 |
|        165 |          72 |1558698962452 |    1640 |      166,068,085 |           99,456 |          234,667 |           99,739 |
|        166 |       ***** |1558698972450 |    1650 |      166,068,085 |           99,456 |                0 |           99,134 |
|        167 |       ***** |1558698982451 |    1660 |      166,068,085 |           99,456 |                0 |           98,537 |
|        168 |       ***** |1558698994002 |    1671 |      166,068,085 |           99,456 |                0 |           97,856 |
|        169 |          73 |1558699002463 |    1680 |      166,829,338 |           99,353 |           19,026 |           97,816 |
|        170 |          74 |1558699012451 |    1690 |      168,507,688 |           99,293 |          168,037 |           98,231 |
|        171 |          75 |1558699022451 |    1700 |      173,129,444 |           99,404 |          462,176 |          100,372 |
|        172 |       ***** |1558699032451 |    1710 |      173,129,444 |           99,404 |                0 |           99,785 |
|        173 |       ***** |1558699042678 |    1720 |      173,129,444 |           99,404 |                0 |           99,192 |
|        174 |       ***** |1558699052597 |    1730 |      173,129,444 |           99,404 |                0 |           98,623 |
|        175 |       ***** |1558699062496 |    1740 |      173,129,444 |           99,404 |                0 |           98,062 |
|        176 |          76 |1558699072476 |    1750 |      174,013,172 |           99,322 |           17,666 |           98,008 |
|        177 |          77 |1558699082782 |    1760 |      177,068,508 |           99,337 |          296,462 |           99,170 |
|        178 |          78 |1558699092493 |    1770 |      180,015,399 |           99,435 |          303,459 |          100,291 |
|        179 |       ***** |1558699102451 |    1780 |      180,015,399 |           99,435 |                0 |           99,730 |
|        180 |       ***** |1558699112883 |    1790 |      180,015,399 |           99,435 |                0 |           99,148 |
|        181 |       ***** |1558699122453 |    1800 |      180,015,399 |           99,435 |                0 |           98,621 |
|        182 |       ***** |1558699133524 |    1811 |      180,015,399 |           99,435 |                0 |           98,018 |
|        183 |       ***** |1558699142739 |    1820 |      180,015,399 |           99,435 |                0 |           97,522 |
|        184 |          79 |1558699152461 |    1830 |      184,524,205 |           99,466 |           75,187 |           99,468 |
|        185 |          80 |1558699162481 |    1840 |      186,749,598 |           99,546 |          222,095 |          100,136 |
|        186 |       ***** |1558699172867 |    1850 |      186,749,598 |           99,546 |                0 |           99,574 |
|        187 |       ***** |1558699184065 |    1861 |      186,749,598 |           99,546 |                0 |           98,975 |
|        188 |       ***** |1558699192514 |    1870 |      186,749,598 |           99,546 |                0 |           98,528 |
|        189 |       ***** |1558699202454 |    1880 |      186,749,598 |           99,546 |                0 |           98,007 |
|        190 |       ***** |1558699212475 |    1890 |      186,749,598 |           99,546 |                0 |           97,487 |
|        191 |          81 |1558699222458 |    1900 |      189,885,759 |           99,504 |           52,289 |           98,625 |
|        192 |          82 |1558699232454 |    1910 |      193,175,316 |           99,558 |          329,087 |           99,832 |
|        193 |          83 |1558699242455 |    1920 |      193,977,420 |           99,600 |           80,202 |           99,729 |
|        194 |       ***** |1558699252457 |    1930 |      193,977,420 |           99,600 |                0 |           99,212 |
|        195 |       ***** |1558699263396 |    1940 |      193,977,420 |           99,600 |                0 |           98,653 |
|        196 |       ***** |1558699272573 |    1950 |      193,977,420 |           99,600 |                0 |           98,189 |
|        197 |       ***** |1558699282516 |    1960 |      193,977,420 |           99,600 |                0 |           97,691 |
|        198 |          84 |1558699292456 |    1970 |      196,299,861 |           99,537 |           46,448 |           98,377 |
|        199 |          85 |1558699302457 |    1980 |      200,161,617 |           99,586 |          386,137 |           99,830 |
|        200 |          86 |1558699312468 |    1990 |      201,028,458 |           99,626 |           86,589 |           99,764 |
|        201 |       ***** |1558699322459 |    2000 |      201,028,458 |           99,626 |                0 |           99,265 |
|        202 |       ***** |1558699332459 |    2010 |      201,028,458 |           99,626 |                0 |           98,772 |
|        203 |       ***** |1558699342457 |    2020 |      201,028,458 |           99,626 |                0 |           98,283 |
|        204 |       ***** |1558699352465 |    2030 |      201,028,458 |           99,626 |                0 |           97,798 |
|        205 |          87 |1558699362460 |    2040 |      204,224,759 |           99,601 |           63,936 |           98,886 |
|        206 |          88 |1558699372465 |    2050 |      206,703,811 |           99,628 |          247,781 |           99,613 |
